Timestamp,What is your current year of study?,Which school/faculty are you in?,What is your gender?,Where do you currently live?,Do you currently have a part-time job?,"On average, how much money do you receive per month from parents/guardians? (THB)",How much scholarship money do you receive per month? (THB),How much do you earn from part-time work per month? (THB),What is your total monthly income/available money? (THB),"How often do you receive money from parents/guardians?
",Do you have a personal savings or emergency fund for unexpected expenses?,"Do you have any other regular financial obligations or responsibilities (e.g., sending money to family or supporting dependents)?","Do you have any monthly debt or loan repayments (e.g., student loans, personal loans, credit card payments)?","Do you have any monthly debt or loan repayments (e.g., student loans, personal loans, credit card payments)?",Approximately how much do you save per month? (Enter amount in THB and enter 0 if not applicable.),Approximately how much do you pay toward debt or loan repayments per month? (Enter amount in THB and enter 0 if not applicable.),How much do you spend on accommodation/rent per month? (THB),How much do you spend on food and drinks per month? (THB),How much do you spend on transportation per month? (THB),How much do you spend on study-related expenses per month? (THB),How much do you spend on other expenses per month? (THB),What is your total monthly spending? (THB),How often do you track your spending?,Do you usually set a monthly budget?,"In the past month, did you face any unexpected/emergency expense?","If yes, about how much was the emergency expense? (THB)",Did you run out of money before the end of the month?,"If yes, how many days before month-end did your money become insufficient?"
3/23/2026 15:06:57,1st year,School of Liberal Arts,Female,On-campus dormitory,No,8000,0,0,8000,Monthly,Yes,No,No,,1000,0,300,4500,0,200,2000,7000,Daily,Yes,No,,Yes,2
3/23/2026 15:06:58,1st year,School of Liberal Arts,Female,Off-campus housing,No,"6,000",-,-,"6,000",Monthly,Yes,No,No,,500,"3,500","3,500","4,000",200,-,-,"6,000",Occasionally,Yes,Yes,"1,000",Yes,8 day
3/23/2026 15:07:12,1st year,School of Liberal Arts,Female,On-campus dormitory,No,3000,-,-,-,Not applicable,Yes,Yes,Yes,,1500,200,1000,≈1000-2000,1000,-,-,-,Weekly,Yes,Yes,25000,Yes,10
3/23/2026 15:07:22,1st year,School of Liberal Arts,Female,On-campus dormitory,Yes,8000,-,1300,9300,Weekly,Yes,No,Yes,,2500,1200,-,2800,200-300,-,1500,3500,Weekly,No,Yes,3600,No,
3/23/2026 15:10:10,1st year,School of Liberal Arts,Female,On-campus dormitory,No,"8,000 per month ",Don’t have ,Don’t have,"8,000-10,000 per month ",Weekly,No,Yes,No,,0,0,Don’t have,"8,000",200-300 per month ,Idk,"5,000","10,000",Daily,Yes,Yes,"1,000",Yes,300
3/23/2026 15:12:32,1st year,School of Liberal Arts,Female,On-campus dormitory,Yes,"5,000 THB",-,"1,500-2,000 THB","6,500 -7,000 THB",Monthly,Yes,No,No,,0,0,"1,000 THB","4,300 THB",150 THB,130 THB,100 THB,"5,500 THB",Occasionally,Yes,Yes,500 THB,No,
3/23/2026 15:12:44,1st year,School of Liberal Arts,Female,On-campus dormitory,No,"8,000",-,-,-,Monthly,Yes,No,No,,"1,000",0,"12,000 per semester ","5,000",0,0,"1,000","7,000",Never,No,No,,No,
3/23/2026 15:12:59,1st year,School of Liberal Arts,Female,On-campus dormitory,No,"6,000",—,—,,Monthly,No,No,No,,0,0,"8,000 / per semester",4500,0,0,1000,6000-7000,Never,No,No,,Yes,1 week
3/23/2026 16:31:18,2nd year,School of Management,Male,On-campus dormitory,No,6000,0,0,6000,Monthly,Yes,No,No,,500,0,1500,3500,100,100,300,5500,Daily,Yes,Yes,500,Yes,25
3/23/2026 16:32:54,1st year,School of Liberal Arts,Male,On-campus dormitory,Yes,9000,-,3000,13000,Weekly,Yes,No,No,,3000,-,3800,5000,300,-,3000,7000,Never,No,No,-,No,-
3/23/2026 16:33:14,1st year,School of Liberal Arts,Male,Off-campus housing,No,15000,5000,0,15000,Weekly,No,No,Yes,,0,0,6000,6000,500,300,4000,Not Sure,Occasionally,Yes,No,0,No,0
3/23/2026 16:34:28,1st year,School of Liberal Arts,Male,Off-campus housing,No,Around 7000to8000bath,No scholarship money,No part time,6000,Monthly,Yes,No,No,,Around 1000 bath,0,0,Around 200 per ,200,Around 1000bath,0,7000-8000,Weekly,Yes,Yes,2000up,Yes,28-30
3/23/2026 16:34:30,1st year,School of Liberal Arts,Female,On-campus dormitory,No,"6,500",-,-,"6,500",Monthly,Yes,No,Yes,,"2,000-3,500",0,"4,000","1,500-2,500",10-30,0-100,-,"1,500-3,000",Daily,Yes,No,-,No,-
3/23/2026 16:34:34,2nd year,School of Management,Male,On-campus dormitory,No,5000,-,-,-,Monthly,No,No,No,,-,-,1300,4000,0,200,400,5000-6000,Weekly,Yes,Yes,2000,Yes,10 days before month end
3/23/2026 16:35:58,1st year,School of Liberal Arts,Male,On-campus dormitory,No,"50,000+",-,-,-,Weekly,Yes,No,No,,0,0,"4,000~","10,000~",100~,-,-,Haven't calculated ,Occasionally,No,No,-,No,-
3/23/2026 16:36:12,1st year,School of Liberal Arts,Male,Off-campus housing,No,5000,3000,-,8000,Monthly,Yes,No,No,,1000,0,4000,3000,1000,0,0,4000,Daily,Yes,No,,No,
3/23/2026 16:36:20,1st year,School of Liberal Arts,Male,On-campus dormitory,No,8000,0,0,0,Weekly,Yes,No,No,,4000,0,0,3000,300,200,500,4000,Daily,Yes,No,,No,
3/23/2026 16:36:31,1st year,School of Liberal Arts,Female,On-campus dormitory,No,3000-4000,3000,0,6000-7000,Every two weeks,No,Yes,No,,0,0,0,5000,0,1000,3000,4000,Never,No,No,No,Yes,7 days
3/23/2026 16:36:39,1st year,School of Liberal Arts,Male,On-campus dormitory,No,3000,-,-,3000,Monthly,No,No,Yes,,-,500,1000,1500,100,0,0,2500,Occasionally,No,No,,No,
3/23/2026 16:37:01,1st year,School of Liberal Arts,Female,On-campus dormitory,No,0,"3,000",0,"3,000",Irregular / When needed,Yes,No,No,,300,0,0,"2,700",0,0,0,2700,Occasionally,Yes,No,,Yes,5 day before month-end
3/23/2026 16:37:02,1st year,School of Liberal Arts,Female,On-campus dormitory,No,5000,-,-,5000,Monthly,Yes,No,No,,0,0,4000,3000,700,0,500,4200,Weekly,Yes,No,0,No,0
3/23/2026 16:38:34,1st year,School of Liberal Arts,Female,On-campus dormitory,No,"3,000 bath",-,-,-,Monthly,Yes,No,No,,-,-,-,"1,500 bath",-,-,-,"2,700 bath",Occasionally,Yes,Yes,300 bath,Yes,2-3 days
3/23/2026 16:40:11,1st year,School of Liberal Arts,Male,On-campus dormitory,No,"3,000 bath","For one semester 6,000 bath",-,-,Weekly,Yes,No,No,,0,0,0,"2,500 bath",250 bath,100 bath,0,"3,000 bath",Weekly,Yes,No,0,No,0
3/23/2026 16:41:45,1st year,School of Liberal Arts,Male,On-campus dormitory,No,5000 baht,-,-,5000 baht,Weekly,No,No,No,,0,0,1200,3500,500,500,500,4000,Daily,Yes,No,-,No,-
